distance_m,elevation_m,slope,width_m
0.000,490.4969,0.054970,30.00
30.000,488.8478,0.026647,30.00
60.000,488.0484,0.000003,30.00
90.000,488.0483,0.000002,42.43
132.426,488.0482,0.000002,42.43
174.853,488.0482,0.000003,42.43
217.279,488.0480,0.000003,30.00
247.279,488.0479,0.000003,210.00
277.279,488.0479,0.000002,84.85
319.706,488.0478,0.000004,60.00
349.706,488.0476,0.000003,60.00
379.706,488.0475,0.000003,60.00
409.706,488.0475,0.000003,84.85
452.132,488.0473,0.000003,30.00
482.132,488.0472,0.000003,60.00
512.132,488.0471,0.000002,84.85
554.558,488.0471,0.000004,60.00
584.558,488.0469,0.000002,84.85
626.985,488.0468,0.000002,42.43
669.411,488.0468,0.000003,42.43
711.838,488.0466,0.000002,42.43
754.264,488.0465,0.000002,84.85
796.690,488.0464,0.000002,84.85
839.117,488.0464,0.000003,84.85
881.543,488.0462,0.000002,42.43
923.970,488.0461,0.000002,254.56
966.396,488.0461,0.000002,169.71
1008.823,488.0460,0.000003,127.28
1051.249,488.0458,0.000003,60.00
1081.249,488.0457,0.060165,84.85
1123.675,485.4932,0.097236,30.00
1153.675,482.5761,0.018345,42.43
1196.102,481.7978,0.081748,84.85
1238.528,478.3295,0.000003,30.00
1268.528,478.3294,0.000002,42.43
1310.955,478.3293,0.000003,42.43
1353.381,478.3292,0.000003,30.00
1383.381,478.3291,0.000002,42.43
1425.807,478.3290,0.000003,30.00
1455.807,478.3289,0.000003,42.43
1498.234,478.3288,0.000003,30.00
1528.234,478.3287,0.000003,120.00
1558.234,478.3286,0.000003,30.00
1588.234,478.3285,0.000004,30.00
1618.234,478.3284,0.000003,30.00
1648.234,478.3283,0.000003,30.00
1678.234,478.3282,0.000003,42.43
1720.660,478.3281,0.000002,42.43
1763.087,478.3280,0.000002,42.43
1805.513,478.3279,,42.43
